#Release 14.7 - par P.20131013 (lin64)
#Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

#Thu Nov 22 10:32:30 2018

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       Trivium_map.ncd
#OUTPUT FILE:      Trivium_pad.csv
#PART TYPE:        xc3s1600e
#SPEED GRADE:      -4
#PACKAGE:          fg320
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
C3,,DIFFM,IO_L25P_0,UNUSED,,0,,,,,,,,,
C4,,IOB,IO,UNUSED,,0,,,,,,,,,
C5,,DIFFM,IO_L23P_0,UNUSED,,0,,,,,,,,,
C6,,,VCCO_0,,,0,,,,,2.50,,,,
C7,,DIFFM,IO_L18P_0,UNUSED,,0,,,,,,,,,
C8,,DIFFMI,IP_L16P_0,UNUSED,,0,,,,,,,,,
C9,,DIFFM,IO_L14P_0/GCLK10,UNUSED,,0,,,,,,,,,
C10,,,GND,,,,,,,,,,,,
C11,,DIFFM,IO_L09P_0,UNUSED,,0,,,,,,,,,
C12,,DIFFMI,IP_L07P_0,UNUSED,,0,,,,,,,,,
C13,,,VCCO_0,,,0,,,,,2.50,,,,
C14,,DIFFS,IO_L03N_0/VREF_0,UNUSED,,0,,,,,,,,,
C15,,IBUF,IP,UNUSED,,0,,,,,,,,,
C16,,,TDO,,,,,,,,,,,,
C17,,DIFFS,IO_L24N_1/LDC2,UNUSED,,1,,,,,,,,,
C18,,DIFFM,IO_L24P_1/LDC1,UNUSED,,1,,,,,,,,,
D1,IV_IN<3>,IBUF,IO_L02P_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
D2,IV_IN<4>,IBUF,IO_L02N_3/VREF_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
D3,IV_IN<5>,IBUF,IP,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
D4,IV_IN<6>,IBUF,IO,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
D5,,DIFFS,IO_L23N_0/VREF_0,UNUSED,,0,,,,,,,,,
D6,,DIFFM,IO_L21P_0,UNUSED,,0,,,,,,,,,
D7,,DIFFS,IO_L18N_0/VREF_0,UNUSED,,0,,,,,,,,,
D8,,DIFFSI,IP_L16N_0,UNUSED,,0,,,,,,,,,
D9,,DIFFS,IO_L14N_0/GCLK11,UNUSED,,0,,,,,,,,,
D10,,DIFFM,IO_L11P_0/GCLK4,UNUSED,,0,,,,,,,,,
D11,,DIFFS,IO_L09N_0,UNUSED,,0,,,,,,,,,
D12,,DIFFSI,IP_L07N_0,UNUSED,,0,,,,,,,,,
D13,,IOB,IO,UNUSED,,0,,,,,,,,,
D14,,DIFFM,IO_L03P_0,UNUSED,,0,,,,,,,,,
D15,,,TMS,,,,,,,,,,,,
D16,,DIFFS,IO_L23N_1/LDC0,UNUSED,,1,,,,,,,,,
D17,,DIFFM,IO_L23P_1/HDC,UNUSED,,1,,,,,,,,,
D18,,IBUF,IP/VREF_1,UNUSED,,1,,,,,,,,,
E1,IV_IN<8>,IBUF,IO_L03N_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
E2,IV_IN<7>,IBUF,IO_L03P_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
E3,IV_IN<11>,IBUF,IO_L04N_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
E4,IV_IN<10>,IBUF,IO_L04P_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
E5,,,VCCINT,,,,,,,,1.2,,,,
E6,,DIFFS,IO_L21N_0,UNUSED,,0,,,,,,,,,
E7,,DIFFS,IO_L19N_0/VREF_0,UNUSED,,0,,,,,,,,,
E8,,DIFFM,IO_L17P_0,UNUSED,,0,,,,,,,,,
E9,,DIFFM,IO_L15P_0,UNUSED,,0,,,,,,,,,
E10,,DIFFS,IO_L11N_0/GCLK5,UNUSED,,0,,,,,,,,,
E11,,DIFFM,IO_L08P_0,UNUSED,,0,,,,,,,,,
E12,,DIFFS,IO_L06N_0,UNUSED,,0,,,,,,,,,
E13,,IOB,IO,UNUSED,,0,,,,,,,,,
E14,,,VCCINT,,,,,,,,1.2,,,,
E15,,DIFFM,IO_L22P_1,UNUSED,,1,,,,,,,,,
E16,,DIFFS,IO_L22N_1,UNUSED,,1,,,,,,,,,
E17,,IBUF,IP,UNUSED,,1,,,,,,,,,
E18,,IBUF,IP,UNUSED,,1,,,,,,,,,
F1,IV_IN<13>,IBUF,IO_L05P_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
F2,IV_IN<14>,IBUF,IO_L05N_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
F3,,,VCCO_3,,,3,,,,,2.50,,,,
F4,IV_IN<9>,IBUF,IP,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
F5,IV_IN<12>,IBUF,IP,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
F6,,,VCCINT,,,,,,,,1.2,,,,
F7,,DIFFM,IO_L19P_0,UNUSED,,0,,,,,,,,,
F8,,DIFFS,IO_L17N_0,UNUSED,,0,,,,,,,,,
F9,,DIFFS,IO_L15N_0,UNUSED,,0,,,,,,,,,
F10,,DIFFMI,IP_L10P_0,UNUSED,,0,,,,,,,,,
F11,,DIFFS,IO_L08N_0,UNUSED,,0,,,,,,,,,
F12,,DIFFM,IO_L06P_0,UNUSED,,0,,,,,,,,,
F13,,,VCCINT,,,,,,,,1.2,,,,
F14,,DIFFS,IO_L21N_1,UNUSED,,1,,,,,,,,,
F15,,DIFFM,IO_L21P_1,UNUSED,,1,,,,,,,,,
F16,,,VCCO_1,,,1,,,,,2.50,,,,
F17,,DIFFS,IO_L19N_1,UNUSED,,1,,,,,,,,,
F18,,DIFFM,IO_L19P_1,UNUSED,,1,,,,,,,,,
G1,IV_IN<17>,IBUF,IP,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
G2,,,VCCAUX,,,,,,,,2.5,,,,
G3,IV_IN<15>,IBUF,IO_L06P_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
G4,IV_IN<16>,IBUF,IO_L06N_3/VREF_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
G5,IV_IN<19>,IBUF,IO_L07N_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
G6,IV_IN<18>,IBUF,IO_L07P_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
G7,,,GND,,,,,,,,,,,,
G8,,,VCCO_0,,,0,,,,,2.50,,,,
G9,,IOB,IO,UNUSED,,0,,,,,,,,,
G10,,DIFFSI,IP_L10N_0,UNUSED,,0,,,,,,,,,
G11,,,VCCO_0,,,0,,,,,2.50,,,,
G12,,,GND,,,,,,,,,,,,
G13,,DIFFS,IO_L20N_1,UNUSED,,1,,,,,,,,,
G14,,DIFFM,IO_L20P_1,UNUSED,,1,,,,,,,,,
G15,,DIFFM,IO_L18P_1,UNUSED,,1,,,,,,,,,
G16,,DIFFS,IO_L18N_1,UNUSED,,1,,,,,,,,,
G17,,,VCCAUX,,,,,,,,2.5,,,,
G18,,IBUF,IP,UNUSED,,1,,,,,,,,,
H1,IV_IN<26>,IBUF,IO_L10N_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
H2,IV_IN<25>,IBUF,IO_L10P_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
H3,IV_IN<24>,IBUF,IO_L09N_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
H4,IV_IN<23>,IBUF,IO_L09P_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
H5,IV_IN<21>,IBUF,IO_L08N_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
H6,IV_IN<20>,IBUF,IO_L08P_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
H7,,,VCCO_3,,,3,,,,,2.50,,,,
H8,,,GND,,,,,,,,,,,,
H9,,,GND,,,,,,,,,,,,
H10,,,GND,,,,,,,,,,,,
H11,,,GND,,,,,,,,,,,,
H12,,,VCCO_1,,,1,,,,,2.50,,,,
H13,,IBUF,IP,UNUSED,,1,,,,,,,,,
H14,,DIFFM,IO_L17P_1,UNUSED,,1,,,,,,,,,
H15,,DIFFS,IO_L17N_1,UNUSED,,1,,,,,,,,,
H16,SK_IN<79>,IBUF,IO_L16P_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
H17,SK_IN<80>,IBUF,IO_L16N_1/A0,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
H18,SK_IN<76>,IBUF,IP/VREF_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
J1,IV_IN<30>,IBUF,IO_L12P_3/LHCLK2,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
J2,IV_IN<31>,IBUF,IO_L12N_3/LHCLK3/IRDY2,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
J3,,,GND,,,,,,,,,,,,
J4,IV_IN<29>,IBUF,IO_L11N_3/LHCLK1,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
J5,IV_IN<28>,IBUF,IO_L11P_3/LHCLK0,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
J6,IV_IN<27>,IBUF,IP/VREF_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
J7,IV_IN<22>,IBUF,IP,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
J8,,,GND,,,,,,,,,,,,
J11,,,GND,,,,,,,,,,,,
J12,SK_IN<77>,IBUF,IO_L15P_1/A2,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
J13,SK_IN<78>,IBUF,IO_L15N_1/A1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
J14,SK_IN<75>,IBUF,IO_L14N_1/A3/RHCLK7,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
J15,SK_IN<74>,IBUF,IO_L14P_1/A4/RHCLK6,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
J16,SK_IN<73>,IBUF,IO_L13N_1/A5/RHCLK5,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
J17,SK_IN<72>,IBUF,IO_L13P_1/A6/RHCLK4/IRDY1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
J18,,,VCCO_1,,,1,,,,,2.50,,,,
K1,,,VCCO_3,,,3,,,,,2.50,,,,
K2,IV_IN<32>,IBUF,IP,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
K3,IV_IN<33>,IBUF,IO_L13P_3/LHCLK4/TRDY2,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
K4,IV_IN<34>,IBUF,IO_L13N_3/LHCLK5,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
K5,IV_IN<36>,IBUF,IO_L14N_3/LHCLK7,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
K6,IV_IN<35>,IBUF,IO_L14P_3/LHCLK6,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
K7,IV_IN<37>,IBUF,IP,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
K8,,,GND,,,,,,,,,,,,
K11,,,GND,,,,,,,,,,,,
K12,SK_IN<68>,IBUF,IO_L11N_1/A9/RHCLK1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
K13,SK_IN<67>,IBUF,IO_L11P_1/A10/RHCLK0,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
K14,SK_IN<70>,IBUF,IO_L12N_1/A7/RHCLK3/TRDY1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
K15,SK_IN<69>,IBUF,IO_L12P_1/A8/RHCLK2,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
K16,,,GND,,,,,,,,,,,,
K17,SK_IN<66>,IBUF,IP,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
K18,SK_IN<71>,IBUF,IP,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
L1,IV_IN<38>,IBUF,IO_L15P_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
L2,IV_IN<39>,IBUF,IO_L15N_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
L3,IV_IN<40>,IBUF,IO_L16P_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
L4,IV_IN<41>,IBUF,IO_L16N_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
L5,IV_IN<44>,IBUF,IO_L17N_3/VREF_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
L6,IV_IN<43>,IBUF,IO_L17P_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
L7,,,VCCO_3,,,3,,,,,2.50,,,,
L8,,,GND,,,,,,,,,,,,
L9,,,GND,,,,,,,,,,,,
L10,,,GND,,,,,,,,,,,,
L11,,,GND,,,,,,,,,,,,
L12,,,VCCO_1,,,1,,,,,2.50,,,,
L13,SK_IN<61>,IBUF,IP,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
L14,SK_IN<56>,IBUF,IP,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
L15,SK_IN<63>,IBUF,IO_L09N_1/A11,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
L16,SK_IN<62>,IBUF,IO_L09P_1/A12,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
L17,SK_IN<65>,IBUF,IO_L10N_1/VREF_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
L18,SK_IN<64>,IBUF,IO_L10P_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
M1,IV_IN<42>,IBUF,IP,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
M2,,,VCCAUX,,,,,,,,2.5,,,,
M3,IV_IN<46>,IBUF,IO_L18N_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
M4,IV_IN<45>,IBUF,IO_L18P_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
M5,IV_IN<48>,IBUF,IO_L19P_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
M6,IV_IN<49>,IBUF,IO_L19N_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
M7,,,GND,,,,,,,,,,,,
M8,,,VCCO_2,,,2,,,,,2.50,,,,
M9,SK_IN<5>,IBUF,IO_L12N_2/D6/GCLK13,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
M10,SK_IN<14>,IBUF,IO_L16P_2/M0,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
M11,,,VCCO_2,,,2,,,,,2.50,,,,
M12,,,GND,,,,,,,,,,,,
M13,SK_IN<53>,IBUF,IO_L05N_1/VREF_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
M14,SK_IN<52>,IBUF,IO_L05P_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
M15,SK_IN<57>,IBUF,IO_L07P_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
M16,SK_IN<58>,IBUF,IO_L07N_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
M17,,,VCCAUX,,,,,,,,2.5,,,,
M18,SK_IN<60>,IBUF,IO_L08N_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
N1,IV_IN<47>,IBUF,IP,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
N2,IV_IN<52>,IBUF,IP,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
N3,,,VCCO_3,,,3,,,,,2.50,,,,
N4,IV_IN<50>,IBUF,IO_L20P_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
N5,IV_IN<51>,IBUF,IO_L20N_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
N6,,,VCCINT,,,,,,,,1.2,,,,
N7,,DIFFM,IO_L07P_2,UNUSED,,2,,,,,,,,,
N8,EN,IBUF,IO_L09N_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
N9,MODE_RUN,IOB,IO_L12P_2/D7/GCLK12,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
N10,SK_IN<15>,IBUF,IO_L16N_2/DIN/D0,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
N11,SK_IN<19>,IBUF,IO_L18N_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
N12,SK_IN<26>,IBUF,IO_L21P_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
N13,,,VCCINT,,,,,,,,1.2,,,,
N14,SK_IN<50>,IBUF,IO_L04N_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
N15,SK_IN<49>,IBUF,IO_L04P_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
N16,,,VCCO_1,,,1,,,,,2.50,,,,
N17,SK_IN<51>,IBUF,IP,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
N18,SK_IN<59>,IBUF,IO_L08P_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
P1,IV_IN<54>,IBUF,IO_L21N_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
P2,IV_IN<53>,IBUF,IO_L21P_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
P3,IV_IN<56>,IBUF,IO_L22P_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
P4,IV_IN<57>,IBUF,IO_L22N_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
P5,,,VCCINT,,,,,,,,1.2,,,,
P6,IV_IN<75>,IBUF,IO_L05N_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
P7,IV_IN<78>,IBUF,IO_L07N_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
P8,ACK,IOB,IO_L09P_2,OUTPUT,LVCMOS25*,2,12,SLOW,NONE**,,,UNLOCATED,NO,NONE,
P9,RSTb,IBUF,IO,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
P10,SK_IN<12>,IBUF,IO_L15N_2/D1/GCLK3,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
P11,SK_IN<18>,IBUF,IO_L18P_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
P12,SK_IN<27>,IBUF,IO_L21N_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
P13,SK_IN<28>,IBUF,IO_L22P_2/A23,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
P14,,,VCCINT,,,,,,,,1.2,,,,
P15,SK_IN<48>,IBUF,IP,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
P16,SK_IN<47>,IBUF,IO,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
P17,SK_IN<54>,IBUF,IO_L06P_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
P18,SK_IN<55>,IBUF,IO_L06N_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
R1,IV_IN<58>,IBUF,IP,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
R2,IV_IN<60>,IBUF,IO_L23N_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
R3,IV_IN<59>,IBUF,IO_L23P_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
R4,IV_IN<55>,IBUF,IP/VREF_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
R5,IV_IN<72>,IBUF,IO_L04P_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
R6,IV_IN<74>,IBUF,IO_L05P_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
R7,IV_IN<79>,IBUF,IP_L08N_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
R8,SK_IN<4>,IBUF,IO_L10P_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
R9,SK_IN<6>,IBUF,IO/D5,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
R10,SK_IN<11>,IBUF,IO_L15P_2/D2/GCLK2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
R11,SK_IN<20>,IBUF,IO,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
R12,SK_IN<24>,IBUF,IO_L20N_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
R13,SK_IN<29>,IBUF,IO_L22N_2/A22,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
R14,SK_IN<33>,IBUF,IO_L24N_2/A20,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
R15,SK_IN<45>,IBUF,IO_L03P_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
R16,SK_IN<46>,IBUF,IO_L03N_1/VREF_1,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
R17,SK_IN<44>,IBUF,IP,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
R18,SK_IN<42>,IBUF,IO_L02P_1/A14,INPUT,LVCMOS25*,1,,,,NONE,,UNLOCATED,NO,NONE,
T1,IV_IN<62>,IBUF,IO_L24N_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
T2,IV_IN<61>,IBUF,IO_L24P_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
T3,IV_IN<66>,IBUF,IO_L01N_2/INIT_B,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
T4,IV_IN<70>,IBUF,IO_L03N_2/MOSI/CSI_B,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
T5,IV_IN<73>,IBUF,IO_L04N_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
T6,,,VCCO_2,,,2,,,,,2.50,,,,
